Time: 0.740 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.744 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.748 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.752 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.756 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.760 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.764 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.768 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.772 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.776 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.780 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.784 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.788 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.792 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.796 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.800 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.804 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.808 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.812 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.816 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.820 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.824 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.828 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.832 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.836 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.840 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.844 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.848 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.852 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.856 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.860 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.864 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.868 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.872 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.876 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.880 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.884 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.888 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.892 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.896 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.900 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.904 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.908 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.912 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.916 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.920 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.924 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.928 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.932 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.936 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.940 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.944 s, ForceX: 0.000 N, ForceZ: 0.000 N
